id,sponsor,venue,place,city/town,state/country,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
12503,POLICE DEPARTMENT OF THE CITY OF NEW YORK,GOVT;,DELMONICO'S,DELMONICO'S,,FOL; 4.75 x 7.25;,,"SEAL ON COVER; FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; LIST OF NAMES OF SUPERINTENDENT, INSPECTORS AND PRECINCT CAPTAINS",1888-0010,1888-01-23,Police Department Of The City Of New York,,,complete,3,30
12506,BARTHOLDI HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,1900-02-18,Bartholdi Hotel,Dollars,$,complete,4,336
12509,RED STAR LINE - S.S.SOUTHWARK,COMMERCIAL,EN ROUTE,EN ROUTE,,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,1900-02-20,Red Star Line   S.S.Southwark,Francs,FF,complete,2,56
12510,HOTEL MARIE ANTOINETTE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,DAILY,,1900-1173,1900-02-20,Marie Antoinette Hotel,Dollars,$,complete,2,128
12511,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,POL;,"NEW YORK, NY",NEW YORK,NY,BOOKLET;ILL;COL;4.25X6.25;,ANNIVERSARY;,WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;,1900-1174,1900-02-20,Third Panel Sheriff's Jury New York County,,,complete,12,35
12524,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,COMMERCIAL,"GROSSE POINTE, MI",GROSSE POINTE,MI,FOLDER;ILLUS;COL;4X7.5;,,WINES;BUILDING ILLUSTRATED;,1901-1538,1901-06-05,National Association Of Manufacturers Of The United States Of America,,,complete,4,18
12525,HAMBURG-AMERIKA LINIE,COMMERCIAL,"SCHNELLDAMPFER ""COLUMBIA""","SCHNELLDAMPFER ""COLUMBIA""",,FOLDER; ILLUS; COL; 4.5X7;,OTHER (DAILY);,GERMAN & ENGLISH; SKETCH OF STEAMSHIP & ROWBOAT ON COVER; MUSICAL PROGRAM ON BACK COVER;,1900-2136,1900-02-25,Hamburg Amerika Linie,,,complete,4,28
12526,UNION HOTEL & RESTAURANT,COMMERCIAL,,,,BROADSIDE; ILLUS; 5.5X10;,OTHER (DAILY);,"A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;",1900-2139,1900-02-26,Union Hotel & Restaurant,Dollars,$,complete,2,71
12529,NEW YORK MEDICAL CLUB,PROF;,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 3X4.5;,,LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;,1900-2144,1900-02-26,New York Medical Club,,,complete,4,17
12533,RED STAR LINE,COMMERCIAL,"S.S. ""SOUTHWARK""","S.S. ""SOUTHWARK""",,CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,"VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP; PRICED WINE, TOBACCO LIST ON BACK OF MENU;",1900-2152,1900-02-26,Red Star Line,Belgian Francs,BEF,complete,2,55
12534,PABST BLUE RIBBON,COMMERCIAL,PABST BLUE RIBBON,PABST BLUE RIBBON,,CARD; ILLUS; COL; 5.25X7.75;,,LOGO OF PABST BLUE RIBBON;,1900-2381,1900-03-11,Pabst Blue Ribbon,Dollars,$,complete,2,52
12535,MAXWELL HOUSE,COMMERCIAL,"NASHVILLE, TN",NASHVILLE,TN,BROADSIDE; ILLUS; 5.75X7.5;,,"ILLUS, PICTURE OF HOTEL;",1900-2386,1900-03-11,Maxwell House,,,complete,2,30
12538,HADDON HALL,COMMERCIAL,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,CARD; 5 X 8;,,LOGO; NOTE ABOUT PURITY OF WATER;,1900-2598,1900-03-27,Haddon Hall,,,complete,2,53
12546,MR. JOHN MORGAN,RELIG;,",NY",,NY,FOLDER;COL;7.5X7.5;,COMPLIMENTARY/TESTIMONIAL,WINES;RIBBON AT LEFT;,1901-1547,1901-06-06,Mr. John Morgan,,,complete,4,19
12550,OCEANIC STEAMSHIP COMPANY,COMMERCIAL,SS VENTURA;,SS VENTURA,,CARD;ILLUS;COL;5.5X8.5;,DAILY;,CARD;FLAG;,1901-1553,1901-06-06,Oceanic Steamship Company,,,complete,2,42
12552,RHODE ISLAND MEDICAL SOCIETY,PROF;,"PROVIDENCE, RI",PROVIDENCE,RI,CARD; 4.25 X 6.75;,ANNIVERSARY(?);,PLACE HANDWRITTEN BY FEB;,1901-1558,1901-06-06,Rhode Island Medical Society,,,complete,2,18
12556,GRAND HOTEL L'D.,COMMERCIAL,"YOKOHAMA, JAPAN",YOKOHAMA,JAPAN,FOLDER; ILLUS; COL; 6.5X9.5;,,"FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO",1900-4126,1900-08-21,Grand Hotel L'd.,Dollars,$,complete,4,152
12557,HOTEL VICTORY,COMMERCIAL,"PUT-IN-BAY-ISLAND, OH",PUT-IN-BAY-ISLAND,OH,CARD; 4.75X7.25;,,,1900-4128,1900-08-22,Hotel Victory,,,complete,2,36
12558,BRISTOL HOTEL,COMMERCIAL,"NAPLES, ITALY",NAPLES,ITALY,BROADSIDE; ILLUS; 5.5X8.75;,OTHER (DAILY);,FRENCH; TABLE D'HOTE MENU; HANDWRITTEN; SKETCHES OF HOTEL & VIEW OF POSILLIPO;,1900-2154,1900-02-26,Bristol Hotel,,,complete,2,11
12563,NEW ENGLAND SHORTHAND REPORTER'S ASSOCIATION,PROF;,"BOSTON,MA",BOSTON,MA,FOLDER;ILL;COL;5.5X8.5;,ANNIVERSARY;,PORTRAIT OF PRESIDENT OF ASSOCIATION ON FRONT COVER;TWO ILLUSTRATIONS OF REPORTERS AT WORK;TOASTS;MUSICAL PROGRAM;NAMES;,1900-3264,1900-05-12,New England Shorthand Reporter's Association,,,complete,4,21
12567,STATLER'S,COMMERCIAL,"BUFFALO, NY",BUFFALO,NY,CARD; ILLUS; 3.25X6.25;,,ILLUS: WOMAN HOLDING TEACUP AND SAUCER;,1900-3268,1900-05-14,Statler's,,,complete,2,17
12571,"CLYDE STEAMSHIP CO., THE",COMMERCIAL,STEAMSHIP IROQUOIS,STEAMSHIP IROQUOIS,,BROADSHEET; ILLUS; COL; 10X7;,,"INCLUDES PRICED WINE, LIQUOR, ETC. LIST; STEAMSHIP INSIGNIA ON COVER; ON BACK COVER IS A MAP COMPRISING ALL LINES INVOLVED WITH CLYDE;",1900-2400,1900-03-12,"Clyde Steamship Co., The",Dollars,$,complete,3,72
12705,MILLS HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET; 3.75 X 6;,DAILY,DINNER SERVED FROM 11;30 TO 9 PM; BREAKFAST MENU ON BACK;,1900-2638,1900-04-01,Mills Hotel,,,complete,2,67
12713,NIPPON YUSEN KAISHA,COMMERCIAL,ABOARD SS KOBE,ABOARD SS KOBE,,BROADSHEET; ILLUS; COL; 10.5X9.5;,,"HAND WRITTEN; ILLUS, YOUTHS IN JAPANESE COSTUME, CARRYING FLOAT;  REVERSE SIDE, MAP OF INDIAN OCEAN SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;",1900-4148,1900-08-24,Nippon Yusen Kaisha,,,complete,2,15
12715,TOYO KISEN KAISHA,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,EN ROUTE ABOARD HONG KONG MARU,,BROADSHEET; ILLUS; 6.5 X 7.75;,COMPLIMENTARY/TESTIMONIAL,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4856,1900-11-02,Toyo Kisen Kaisha,,,complete,2,44
12718,HOTEL GRUNEWALD,COMMERCIAL,"NEW ORLEANS, LA",NEW ORLEANS,LA,BROADSHEET; ILLUS; 5.25X8.25;,,TABLE D'HOTE MENU INCLUDES PINT FRENCH CLARET; ILLUSTRATION OF COAT OF ARMS AND TABLE LADEN WITH FRUIT AND WINES; MUSICAL PROGRAM INCLUDED;,1900-4861,1900-11-03,Grunewald Hotel,,,complete,2,21
12723,PACIFIC MAIL STEAMSHIP CO.,COMMERCIAL,SS CITY OF PARA,SS CITY OF PARA,,FOLDER; 5.5X8.5;,,,1900-3276,1900-05-14,Pacific Mail Steamship Co.,,,complete,4,16
12729,NEW FALMOUTH HOTEL,COMMERCIAL,"PORTLAND, ME",PORTLAND,ME,BROADSIDE; 5.0X8.5;,,"SIGNED BY F. H. NUNNS, PROP.; NOTE AT BOTTOM OF MENU: JEFFERSON THEATRE, ""TACITUS""",1900-3297,1900-05-16,New Falmouth Hotel,,,complete,2,54
12733,DEL CORONADAO HOTEL,COMMERCIAL,"CORONADO BEACH, CA",CORONADO BEACH,CA,CARD; ILLUS; COL; 4.5X7.5;,,"TABLE D'HOTE MENU; SKETCH OF CROWN AT TOP OF MENU; INCLUDES MUSIC PROGRAM AND ""TEMPERATURE AT NOON TODAY WAS 75;""",1900-4874,1900-11-13,Del Coronadao Hotel,,,complete,2,48
12764,GRAND HOTEL,COMMERCIAL,"MELBOURNE, AUSTRALIA",MELBOURNE,AUSTRALIA,BOOKLET; ILLUS; 4.25X6.25;,COMPLIMENTARY/TESTIMONIAL,FRENCH; INCLUDES TOASTS; MILITARY FIGURE SKETCHED ON COVER;,1900-2952,1900-04-25,Grand Hotel,,,complete,4,12
12770,PARKER'S HOTEL LATE TRAM0NTANO,COMMERCIAL,"NAPLES, ITALY",NAPLES,ITALY,CARD; COL; 4 X 6;,,MENU IN FRENCH; HANDWRITTEN; RED PRINT AND LOGO;,1900-2189,1900-02-27,Parker's Hotel (Late Tram0ntano),,,complete,2,10
12773,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,COMMERCIAL,SS COPTIC,SS COPTIC,,FOLDER; ILLUS; 5.5X8.5;,,"ITEMS OF THE DAY HANDWRITTEN IN LAVENDAR INK ON PRINTED FORM; DECORATIVE BORDER & ANCHOR, FLAGS, ETC. ON COVER;",1900-2412,1900-03-13,Occidental & Oriental Steamship Co.,Dollars,$,complete,4,34
12781,BROADWAY CENTRAL HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 5.5X9;,,ONE OF A LARGE NUMBER OF MENUS WE HAVE HAD IN PAST; INCLUDES BIRD'S-EYE MAP OF NEW YORK PLUS OBJECTS OF INTEREST IN AND ABOUT NEW YORK;,1900-1012,1900-02-12,Broadway Central Hotel,Dollars,$,complete,4,63
12782,HOTEL EMPIRE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 6.25X8.75;,,A LA CARTE DU JOUR DINNER MENU; INCLUDES EXTENSIVE PRICED WINE LIST; HOTEL MONOGRAM ON COVER;,1900-1014,1900-01-12,Empire Hotel,Dollars,$,complete,4,300
12794,HOTEL ALMS,COMMERCIAL,"CINCINNATI, OH",CINCINNATI,OH,CARD;ILL;COL;4.25X6.5;,,FRENCH MENU;WINES;POSSIBLY A PRIVATE OCCASION;LILLIES;MONOGRAM;,1900-2657,1900-04-03,Hotel Alms,,,complete,2,24
12798,BAPTIST SOCIAL UNION,RELIG;,"NEW YORK, NY",NEW YORK,NY,FOLDER;ILL;4X5.5;,,,1900-2662,1900-04-05,Baptist Social Union,,,complete,4,19
12799,MILLS HOTEL RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET;3.75X6;,DAILY;,,1900-2663,1900-04-05,Mills Hotel Restaurant,,,complete,2,21
12802,ROUND TABLE CLUB,[SOC];,ROUND TABLE CLUB,ROUND TABLE CLUB,,CARD; 5.5X8.0;,,"CREAM COLORED CARD STOCK WITH GOLD TIPPING ON BEVELED EDGES; INITIALS ""RC"" INTERTWINED IN GOLD; MENU HAND WRITTEN IN BLACK INK; WINES WRITTEN IN RED INK;",1900-2670,1900-04-06,Round Table Club,,,complete,2,21
12805,UNION LEAGUE CLUB,SOC;,"NEW YORK, NY",NEW YORK,NY,CARD; 5.5X7.0;,,"INITIALS ""ULC"" IN PALE BLUE;",1900-2686,1900-04-07,Union League Club,,,complete,2,17
12806,SHERIDAN SQUARE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 5.25X7.5;,,LOGO OF HOTEL IN RED;,1900-2687,1900-04-07,Sheridan Square Hotel,,,complete,2,32
12816,MR. THOMAS HASTINGS,OTHER (PRIVATE PARTY WITH INDIVIDUAL HOST);,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; 4.5X7;,COMPLIMENTARY/TESTIMONIAL,"FRENCH; HOST'S MONOGRAM AT TOP OF MENU; BEAUTIFULLY HANDSCRIPTED; [SPONSOR, EVENT INFO SUPPLIED BY FEB, INCLUDING ""PRESENTED BY DR. BILLINGS WHO WAS PRESENT];",1900-2976,1900-04-26,Mr. Thomas Hastings,,,complete,2,19
12818,CENTRAL RESTAURANT & ROOF GARDEN,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; 4.5X5.75;,,TABLE D'HOTE DINNER -- 50 CENTS; PRICED WINE LIST ON BACK OF MENU;,1900-2981,1900-04-26,Central Restaurant & Roof Garden,Dollars,$,complete,2,89
12820,MAGNETIC CLUB,(SOC?);,ST. DENIS HOTEL,ST. DENIS HOTEL,,BOOKLET; ILLUS; 5.5X7.75;,OTHER (ANNUAL DINNER);,INCLUDES PHOTOGRAPH OF UNIDENTIFIED GENTLEMEN;,1900-2983,1900-04-26,Magnetic Club,,,complete,4,20
12835,TIMEO HOTEL,COMMERCIAL,"TAOEMINA, SICILY",TAOEMINA,SICILY,BROADSIDE; 3.75 X 6;,,MENU IN ITALIAN;,1900-2216,1900-03-01,Timeo Hotel,,,complete,2,5
12838,HOTEL MARLBOROUGH,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;ILL;COL;4.25X7;,DAILY;,COAT OF ARMS IN UPPER LEFT;,1900-2220,1900-03-01,Hotel Marlborough,Dollars,$,complete,2,44
12848,HOTEL JERMYN,COMMERCIAL,"SCRANTON, PA",SCRANTON,PA,CARD; 5.25 X 6.75;,,,1900-2430,1900-03-14,Hotel Jermyn,,,complete,2,60
12850,P.R.R. PENNSYLVANIA RR,COMMERCIAL,RR STATION,RR STATION,,CARD; COL; 6 X 10;,,PRICED MENU; PRICED WINE LIST; AFTER THEATRE SUPPER TO ORDER; BLUE; LOGO;,1900-2433,1900-03-14,P.R.R. (Pennsylvania Rr),Dollars,$,complete,2,191
12859,New York Athletic Club,OTHER (PRIVATE CLUB);,"NEW YORK, NY",NEW YORK,NY,CARD; 4.5 X 7.5;,,UNPRICED MENU; LOGO;,1900-2447,1900-03-14,New York Athletic Club,Dollars,$,complete,2,25
12863,SHERMAN SQUARE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; HOTEL EMBLEM; 5.25 X 7.5;,,,1900-2459,1900-03-14,Sherman Square Hotel,,,complete,2,32
12872,MANHATTAN CLUB,SOC;,,,,FOLDER; 6.0X9.5;,,"MONOGRAM ""MC"" ON COVER; MANHATTAN CLUB HAND WITTEN INSIDE;",1900-2700,1900-04-07,Manhattan Club,Dollars,$,complete,4,137
12875,PARK AVENUE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; 4.25X7.0;,,FROM 12:00 TO 2:30 AND FROM 5:30 TO 8:00 PM; HOTEL LOGO IN PINK;,1900-2705,1900-04-07,Park Avenue Hotel,Dollars,$,complete,2,17
12884,HASKIN'S RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;5X7.25;,DAILY;,25CENT DINNER MENU;HANDWRITTEN DATE BY MS BUTTOLPH INCORRECTLY WRITTEN AS 2/21;,1900-1196,1900-02-21,Haskin's Restaurant,,,complete,2,15
12905,SAN REMO HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; 6.5 X 10.5;,DAILY,,1900-1042,1900-02-13,San Remo Hotel,Dollars,$,complete,4,243
12906,YOUNG'S HERALD SQUARE LUNCH ROOM,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; 6.5 X 9.5;,DAILY,AD FOR MUSIC HALL ON COVER; BREAKFAST MENU ON BACK ;,1900-1043,1900-02-13,Young's Herald Square Lunch Room,Dollars,$,complete,4,242
12910,RED STAR LINE - SS WESTERNLAND,COMMERCIAL,EN ROUTE,EN ROUTE,,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,ALL HANDWRITTEN; WINE LIST ON BACK; RATE OF EXCHANGE INCLUDED;,1900-1051,1900-02-13,Red Star Line   Ss Westernland,,,complete,2,49
12912,PENNSYLVANIA RR,COMMERCIAL,TOUR THROUGH MEXICO & CALIFORNIA,TOUR THROUGH MEXICO & CALIFORNIA,,BROADSIDE; 5.25 X 7;,CONDUCTED TOUR,SEPARATE PAGE WITH WINE LIST INCLUDING PRICES;,1900-1059,1900-02-14,Pennsylvania Rr,,,complete,4,61
12913,MR. S.R.BLOOMFIELD,SOC;,GRAND HOTEL,GRAND HOTEL,,FOLDER; ILLUS; COL; 3.5 X 4.75;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH;,1900-1060,1900-02-14,Mr. S.R.Bloomfield,,,complete,4,10
12916,WINDSOR HOTEL,COMMERCIAL,"JACKSONVILLE, FL",JACKSONVILLE,FL,BROADSIDE; ILLUS;4.25 X 7;,DAILY,,1900-1063,1900-02-14,Windsor Hotel,Dollars,$,complete,2,43
12917,CAFETERIA LUNCH,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; 6 X 9.5;,SECULAR HOLIDAY. HOLIDAY,ALL SPECIAL ITEMS HANDWRITTEN;,1900-1064,1900-02-14,Cafeteria   Lunch,Dollars,$,complete,4,114
12919,USMS ST LOUIS,COMMERCIAL,USMS ST LOUIS,USMS ST LOUIS,,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD IN BLUE UPPER LEFT;PRICED WINE LIST ON BACK;,1900-1071,1900-02-14,Usms St Louis,Dollars,$,complete,2,86
12937,RIGGS HOUSE,COMMERCIAL,"WASHINGTON, D.C.",WASHINGTON,D.C.,BROADSIDE; 5.5 X 7;,DAILY,,1900-3009,1900-04-27,Riggs House,,,complete,2,53
12938,GRIDIRON NATIONAL CONVENTION,PROF;,"WASHINGTON, D.C.",WASHINGTON,D.C.,CARD; ILLUS; COL; 3 X 9.5;,,MENU PRINTED TO RESEMBLE A TICKET; WINES INCLUDED;,1900-3013,1900-04-28,Gridiron National Convention,,,complete,2,22
12940,Brooklyn Club,SOC;,"BROOKLYN, NY",BROOKLYN,NY,BROADSIDE; 4.5 X 7;,ANNIVERSARYERSARY,MENU IN FRENCH; WINES INCLUDED;,1900-3021,1900-04-28,Brooklyn Club,,,complete,2,28
12941,University Club,SOC;,"CHICAGO, IL",CHICAGO,IL,FOLDER;ILL;4.5X5.75;,COMPLIMENTARY/TESTIMONIAL,PORTRAIT ON FRONT COVER;RIBBON FASTENING AT LEFT;WINES;EMBLEM ON BACK COVER;,1900-3044,1900-05-01,University Club,Dollars,$,complete,2,97
12957,BALTIMORE AND OHIO RR ROYAL BLUE LINE,COMMERCIAL,CAR BRUNSWICK,CAR BRUNSWICK,,CARD;5.75X6.5;,DAILY;,,1900-3059,1900-05-01,Baltimore And Ohio Rr Royal Blue Line,,,complete,2,27
12958,BATTLE CREEK SANITARIUM,COMMERCIAL,"BATTLE CREEK, MI",BATTLE CREEK,MI,FOLDER; ILLUS; 4.5X6.5;,,BLACK AND WHITE ILLUSTRATION OF SANITARIUM BUILDINGS [?];,1900-3074,1900-05-02,Battle Creek Sanitarium,,,complete,4,68
12963,QUEBEC STEAMSHIP COMPANY,COMMERCIAL,SS TRINIDAD,SS TRINIDAD,,CARD;ILL;COL;5.5X8.5;,DAILY;,FLAG;,1900-2243,1900-03-02,Quebec Steamship Company,,,complete,2,36
12964,NEW YORK CENTRAL & HUDSON RIVER R.R.,COMMERCIAL,"DINING CAR SERVICE, TRAIN 19",DINING CAR SERVICE,TRAIN 19,FOLDER; ILLUS; COL; 5.5X7;,,GRAND CENTRAL STATION ILLUSTRATION ON COVER; PRICED WINE & COCKTAIL LIST; SKETCH OF SARATOGA DURING FLORAL FETE ON BACK;,1900-2245,1900-03-02,New York Central & Hudson River R.R.,Dollars,$,complete,4,81
12982,BERT HOUGH & TONY FRANKER - PABST BLUE RIBBON,COMMERCIAL,"CHICAGO, IL",CHICAGO,IL,BROADSIDE; ILLUS; COL; 5.25 X 7.75;,EVENING DINNER,,1900-2483,1900-03-16,Bert Hough & Tony Franker   Pabst Blue Ribbon,Dollars,$,complete,2,50
12991,BOARD OF TRADE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BOOLET;ILL;COL;4/25X7;,ANNIVERSARY;,ILLUSTRATIONV OF DOOR CUT OUT ON THREE SIDES WHEN OPEN SHOWING A MESSAGE;TOASTS;NAMES;TWISTED CORD FASTENING ON RIGHT,1900-1084,1900-02-15,Board Of Trade,,,complete,4,20
12999,U.S.M.S.,NAV;,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; COL; 4X6.25;,,INCLUDES PRICED WINE LIST;,1900-1100,1900-02-15,U.S.M.S,Dollars,$,complete,2,99
13002,NEW YORK ALUMNI ASSOCIATION OF THE PHILLIPS EXETER ACADEMY,EDUC;,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 5X8;,ANNIVERSARY;,INCLUDES OFFICERS 189901900 AND EXECUTIVE COMMITTEE; SCHOOL SEAL ON BACK COVER;,1900-2745,1900-04-10,New York Alumni Association Of The Phillips Exeter Academy,,,complete,4,18
13004,NORDDEUTSCHER LLOYDS BREMEN,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,DAMPFER KAISER WILHELM DER GROSSE,,FOLDER; ILLUS; COL; 5.25X7.5;,,GERMAN & ENGLISH; INCLUDES CONCERT PROGRAM; MYTHICAL FIGURES & MARITIME SKETCHES ON COVER;,1900-2751,1900-04-10,Norddeutscher Lloyds Bremen,,,complete,4,35
13005,BATTERY PARK HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; 4.5 X 7.5;,,PRICED WINE LIST; DRAWING OF HOTEL; POINTS OF INTEREST WITH DISTANCES FROM BATTERY PARK;,1900-2757,1900-04-11,Battery Park Hotel,Dollars,$,complete,4,130
